[2026-06-03T14:43:59.668Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (?ms, 246262B)
[2026-06-03T14:43:59.919Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (2ms, 246262B)
[2026-06-03T14:43:59.923Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (3ms, 246262B)
[2026-06-03T14:43:59.926Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:04.316Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (4ms, 246262B)
[2026-06-03T14:44:04.324Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:04.326Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (?ms, 246262B)
[2026-06-03T14:44:05.591Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:05.593Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:05.594Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (?ms, 246262B)
[2026-06-03T14:44:06.271Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (6ms, 246262B)
[2026-06-03T14:44:06.284Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (4ms, 246262B)
[2026-06-03T14:44:06.288Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (?ms, 246262B)
[2026-06-03T14:44:06.660Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (2ms, 246262B)
[2026-06-03T14:44:06.666Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (2ms, 246262B)
[2026-06-03T14:44:06.669Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:08.852Z] GET http://localhost:4321/fr/ → 200 (25ms, 339215B)
[2026-06-03T14:44:08.885Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600&family=JetBrains+Mono:wght@400;500&display=swap → pending (?ms, ?B)
[2026-06-03T14:44:08.885Z] GET http://localhost:4321/@vite/client → 200 (26ms, 297662B)
